ax	ay	az
-0.012097	0.003498	-0.009434
-0.011847	0.003338	-0.023670
-0.012214	0.003264	-0.018819
-0.011369	0.003301	-0.018749
-0.012039	0.003393	-0.013911
-0.011490	0.003189	-0.018603
-0.011845	0.003360	-0.018526
-0.011343	0.003078	-0.018448
-0.011676	0.003300	-0.013616
-0.011430	0.003157	-0.023074
-0.011509	0.003126	-0.013462
-0.010999	0.003212	-0.022922
-0.011310	0.003035	-0.013304
-0.011421	0.003221	-0.018024
-0.010800	0.003047	-0.022691
-0.011619	0.002960	-0.008330
-0.010669	0.003041	-0.027310
-0.010751	0.003129	-0.008171
-0.011135	0.002904	-0.027184
-0.010364	0.003039	-0.008015
-0.011234	0.002949	-0.022260
-0.010708	0.002887	-0.017401
-0.010204	0.002882	-0.022108
-0.011239	0.002948	-0.012517
-0.010074	0.002881	-0.012396
-0.010359	0.002772	-0.026666
-0.010520	0.002951	-0.012279
-0.010247	0.002699	-0.021722
-0.010338	0.002830	-0.012140
-0.010120	0.002766	-0.016790
-0.009887	0.002759	-0.021512
-0.010527	0.002669	-0.016703
-0.009767	0.002819	-0.016560
-0.010141	0.002547	-0.011762
-0.009735	0.002768	-0.025993
-0.009829	0.002744	-0.016375
-0.009992	0.002407	-0.011520
-0.009116	0.002710	-0.020986
-0.010279	0.002637	-0.016166
-0.009036	0.002615	-0.020829
-0.009709	0.002375	-0.011224
-0.009616	0.002750	-0.020705
-0.009171	0.002395	-0.015871
-0.009431	0.002449	-0.020512
-0.009249	0.002556	-0.010967
-0.008956	0.002385	-0.020374
-0.009847	0.002500	-0.020355
-0.008544	0.002406	-0.010706
-0.009135	0.002260	-0.020131
-0.009107	0.002621	-0.015388
-0.008517	0.002214	-0.024754
-0.008879	0.002429	-0.010421
-0.009266	0.002253	-0.010406
-0.008236	0.002272	-0.029286
-0.008835	0.002317	-0.010197
-0.008611	0.002292	-0.014911
-0.008769	0.002404	-0.024376
-0.007993	0.002002	-0.014692
-0.008762	0.002301	-0.009885
-0.008317	0.002139	-0.024193
-0.008015	0.002224	-0.014509
-0.008138	0.002193	-0.019144
-0.008680	0.002084	-0.014485
-0.007978	0.002289	-0.018970
-0.007894	0.001900	-0.014273
-0.007961	0.002155	-0.018914
-0.008051	0.002086	-0.014099
-0.007724	0.002095	-0.018725
-0.008154	0.001948	-0.013973
-0.007333	0.002072	-0.023394
-0.007771	0.002070	-0.008998
-0.007871	0.001825	-0.023296
-0.007233	0.002007	-0.013572
-0.007620	0.001951	-0.013616
-0.007722	0.002088	-0.023035
-0.007048	0.001691	-0.008587
-0.007569	0.002033	-0.022945
-0.006876	0.001813	-0.013219
-0.007352	0.001824	-0.022760
-0.007552	0.001790	-0.013167
-0.006872	0.001803	-0.017792
-0.007015	0.001996	-0.012996
-0.006653	0.001990	-0.017653
-0.007097	0.001421	-0.017608
-0.006713	0.001862	-0.017511
-0.007164	0.001580	-0.012739
-0.006412	0.002000	-0.022084
-0.006850	0.001707	-0.012598
-0.006162	0.001366	-0.017209
-0.007304	0.002050	-0.012510
-0.005892	0.001547	-0.026478
-0.006908	0.001503	-0.007579
-0.005927	0.001858	-0.021692
-0.006319	0.001070	-0.016852
-0.006326	0.002138	-0.012064
-0.006360	0.001347	-0.016775
-0.005963	0.001646	-0.021425
-0.006155	0.001727	-0.011789
-0.006057	0.001235	-0.016492
-0.005604	0.001789	-0.021197
-0.006125	0.001133	-0.011680
-0.005838	0.001415	-0.016278
-0.005962	0.001678	-0.020977
-0.005528	0.001583	-0.011460
-0.005642	0.001372	-0.020788
-0.005342	0.001237	-0.011215
-0.005802	0.001631	-0.020843
-0.005671	0.001415	-0.011017
-0.005210	0.000870	-0.020531
-0.005330	0.001970	-0.015887
-0.005371	0.000731	-0.015531
-0.004912	0.001978	-0.020377
-0.005585	0.000794	-0.010786
-0.005165	0.001321	-0.015311
-0.004983	0.001529	-0.015610
-0.004874	0.001171	-0.024720
-0.004631	0.001307	-0.010414
-0.005493	0.000796	-0.015251
-0.004613	0.001603	-0.019828
-0.004766	0.001210	-0.010188
-0.004193	0.001164	-0.024435
-0.005133	0.001039	-0.015076
-0.004766	0.001148	-0.010032
-0.004327	0.001225	-0.019476
-0.004228	0.000829	-0.019306
-0.004645	0.001410	-0.009879
-0.004580	0.001045	-0.019397
-0.003977	0.001234	-0.019151
-0.004528	0.000862	-0.009806
-0.003672	0.000570	-0.023612
-0.004625	0.001708	-0.009609
-0.004024	0.000790	-0.018974
-0.003542	0.000974	-0.014146
-0.004519	0.000787	-0.014043
-0.003225	0.001153	-0.023404
-0.004356	0.001361	-0.013923
-0.004002	0.000235	-0.013897
-0.003111	0.001228	-0.013721
-0.003832	0.000890	-0.018422
-0.003481	0.000523	-0.018484
-0.003522	0.001573	-0.018223
-0.003997	0.000329	-0.008982
-0.002975	0.001316	-0.017942
-0.003105	0.000203	-0.022880
-0.003751	0.001164	-0.008685
-0.002998	0.000939	-0.017954
-0.003847	0.000299	-0.013205
-0.002113	0.001120	-0.022391
-0.003556	0.000725	-0.013248
-0.003061	0.000853	-0.012990
-0.002692	0.000523	-0.022154
-0.003301	0.000600	-0.012944
-0.002417	0.000891	-0.012759
-0.002942	0.000504	-0.022354
-0.002556	0.001242	-0.012306
-0.002951	-0.000060	-0.012783
-0.002367	0.000809	-0.021870
-0.002502	0.000664	-0.012683
-0.002605	0.000606	-0.016931
-0.002977	0.000561	-0.012211
-0.001389	0.000716	-0.021707
-0.003053	0.000707	-0.012352
-0.001741	0.000301	-0.021405
-0.002279	0.000660	-0.012233
-0.002446	0.000087	-0.011773
-0.001684	0.001067	-0.021533
-0.002071	-0.000020	-0.016453
-0.002508	0.000968	-0.011990
-0.001568	0.000341	-0.016150
-0.001261	0.000308	-0.021299
-0.002528	0.000310	-0.011586
-0.001495	0.000721	-0.016189
-0.001768	-0.000325	-0.016270
-0.001302	0.001513	-0.015986
-0.001926	-0.000482	-0.016235
-0.001203	0.000754	-0.015765
-0.001590	0.000025	-0.016221
-0.001355	0.000711	-0.015728
-0.001545	0.000095	-0.015824
-0.000316	0.000677	-0.015607
-0.002348	-0.000438	-0.015696
-0.000630	0.000531	-0.015693
-0.001116	0.000358	-0.015665
-0.000856	0.000404	-0.020072
-0.001329	0.000219	-0.010655
-0.000831	0.000032	-0.015547
-0.000735	0.000184	-0.019846
-0.000518	0.000405	-0.020027
