cx	cy	cz	q_scalar	q_x	q_y	q_z
-10.799835	-0.500517	0.100120	0.140918	-0.114763	-0.909766	0.373226
-10.799635	-0.501017	0.100220	0.142369	-0.114056	-0.909192	0.374288
-10.799435	-0.501518	0.100320	0.143817	-0.113346	-0.908615	0.375351
-10.799235	-0.502018	0.100420	0.145262	-0.112632	-0.908033	0.376415
-10.799035	-0.502518	0.100520	0.146706	-0.111915	-0.907448	0.377479
-10.798835	-0.503018	0.100620	0.148147	-0.111195	-0.906859	0.378544
-10.798635	-0.503518	0.100720	0.149585	-0.110471	-0.906266	0.379609
-10.798435	-0.504018	0.100820	0.151021	-0.109744	-0.905669	0.380674
-10.798235	-0.504518	0.100920	0.152455	-0.109014	-0.905068	0.381740
-10.798035	-0.505018	0.101020	0.153886	-0.108280	-0.904463	0.382806
-10.797835	-0.505518	0.101120	0.155314	-0.107543	-0.903855	0.383873
-10.797635	-0.506018	0.101220	0.156741	-0.106802	-0.903242	0.384940
-10.797435	-0.506518	0.101321	0.158164	-0.106058	-0.902626	0.386007
-10.797235	-0.507018	0.101421	0.159585	-0.105311	-0.902006	0.387075
-10.797035	-0.507518	0.101521	0.161004	-0.104561	-0.901382	0.388143
-10.796835	-0.508018	0.101621	0.162420	-0.103807	-0.900754	0.389212
-10.796635	-0.508518	0.101721	0.163834	-0.103050	-0.900123	0.390280
-10.796435	-0.509018	0.101821	0.165245	-0.102289	-0.899487	0.391349
-10.796235	-0.509518	0.101921	0.166653	-0.101525	-0.898848	0.392419
-10.796035	-0.510018	0.102021	0.168059	-0.100757	-0.898204	0.393488
-10.795835	-0.510518	0.102121	0.169462	-0.099987	-0.897557	0.394558
-10.795635	-0.511018	0.102221	0.170863	-0.099212	-0.896906	0.395628
-10.795435	-0.511518	0.102321	0.172261	-0.098435	-0.896252	0.396699
-10.795235	-0.512018	0.102421	0.173656	-0.097654	-0.895593	0.397769
-10.795035	-0.512518	0.102521	0.175048	-0.096869	-0.894931	0.398840
-10.794835	-0.513019	0.102621	0.176438	-0.096082	-0.894264	0.399911
-10.794636	-0.513519	0.102721	0.177826	-0.095291	-0.893594	0.400982
-10.794436	-0.514019	0.102821	0.179210	-0.094496	-0.892920	0.402054
-10.794236	-0.514519	0.102921	0.180592	-0.093698	-0.892243	0.403125
-10.794036	-0.515019	0.103021	0.181971	-0.092897	-0.891561	0.404197
-10.793836	-0.515519	0.103121	0.183348	-0.092092	-0.890876	0.405269
-10.793636	-0.516019	0.103221	0.184721	-0.091284	-0.890187	0.406341
-10.793436	-0.516519	0.103321	0.186092	-0.090472	-0.889494	0.407413
-10.793236	-0.517019	0.103421	0.187460	-0.089657	-0.888797	0.408485
-10.793036	-0.517519	0.103521	0.188825	-0.088839	-0.888097	0.409557
-10.792836	-0.518019	0.103621	0.190188	-0.088017	-0.887393	0.410629
-10.792636	-0.518519	0.103721	0.191547	-0.087191	-0.886685	0.411701
-10.792436	-0.519019	0.103821	0.192904	-0.086363	-0.885973	0.412773
-10.792236	-0.519519	0.103921	0.194258	-0.085531	-0.885257	0.413846
-10.792036	-0.520019	0.104021	0.195609	-0.084695	-0.884538	0.414918
-10.791836	-0.520519	0.104121	0.196957	-0.083856	-0.883815	0.415990
-10.791636	-0.521019	0.104221	0.198303	-0.083014	-0.883088	0.417062
-10.791436	-0.521519	0.104321	0.199645	-0.082168	-0.882357	0.418134
-10.791236	-0.522019	0.104421	0.200984	-0.081319	-0.881623	0.419206
-10.791036	-0.522519	0.104521	0.202321	-0.080466	-0.880885	0.420278
-10.790836	-0.523019	0.104621	0.203654	-0.079610	-0.880143	0.421350
-10.790636	-0.523519	0.104721	0.204985	-0.078750	-0.879397	0.422422
-10.790436	-0.524019	0.104821	0.206313	-0.077887	-0.878648	0.423494
-10.790236	-0.524519	0.104921	0.207637	-0.077021	-0.877895	0.424565
-10.790036	-0.525020	0.105021	0.208959	-0.076151	-0.877138	0.425637
-10.789836	-0.525520	0.105121	0.210278	-0.075277	-0.876377	0.426708
-10.789636	-0.526020	0.105221	0.211593	-0.074401	-0.875613	0.427779
-10.789436	-0.526520	0.105321	0.212906	-0.073520	-0.874845	0.428850
-10.789236	-0.527020	0.105421	0.214215	-0.072637	-0.874074	0.429920
-10.789036	-0.527520	0.105521	0.215522	-0.071750	-0.873298	0.430990
-10.788836	-0.528020	0.105621	0.216825	-0.070859	-0.872519	0.432061
-10.788636	-0.528520	0.105721	0.218125	-0.069965	-0.871736	0.433130
-10.788436	-0.529020	0.105821	0.219422	-0.069067	-0.870950	0.434200
-10.788236	-0.529520	0.105921	0.220716	-0.068167	-0.870160	0.435269
-10.788036	-0.530020	0.106021	0.222007	-0.067262	-0.869366	0.436338
-10.787836	-0.530520	0.106122	0.223295	-0.066354	-0.868569	0.437407
-10.787636	-0.531020	0.106222	0.224580	-0.065443	-0.867768	0.438475
-10.787436	-0.531520	0.106322	0.225861	-0.064528	-0.866963	0.439543
-10.787236	-0.532020	0.106422	0.227139	-0.063610	-0.866155	0.440611
-10.787036	-0.532520	0.106522	0.228414	-0.062689	-0.865343	0.441678
-10.786836	-0.533020	0.106622	0.229686	-0.061764	-0.864527	0.442744
-10.786636	-0.533520	0.106722	0.230955	-0.060835	-0.863708	0.443811
-10.786436	-0.534020	0.106822	0.232220	-0.059903	-0.862885	0.444877
-10.786236	-0.534520	0.106922	0.233482	-0.058968	-0.862058	0.445942
-10.786036	-0.535020	0.107022	0.234741	-0.058029	-0.861228	0.447007
