wx	wy	wz
0.099996	0.333366	0.033379
0.099875	0.333401	0.033284
0.099756	0.333434	0.033048
0.099634	0.333467	0.032859
0.099520	0.333500	0.032672
0.099400	0.333534	0.032533
0.099285	0.333566	0.032347
0.099167	0.333599	0.032161
0.099053	0.333630	0.031977
0.098937	0.333663	0.031841
0.098822	0.333695	0.031610
0.098707	0.333726	0.031475
0.098597	0.333758	0.031246
0.098484	0.333788	0.031113
0.098370	0.333820	0.030933
0.098262	0.333851	0.030706
0.098146	0.333881	0.030623
0.098039	0.333911	0.030350
0.097931	0.333942	0.030268
0.097820	0.333971	0.029996
0.097716	0.334002	0.029916
0.097604	0.334031	0.029693
0.097497	0.334060	0.029519
0.097395	0.334089	0.029298
0.097283	0.334118	0.029173
0.097182	0.334147	0.029049
0.097078	0.334175	0.028782
0.096973	0.334204	0.028660
0.096871	0.334231	0.028442
0.096767	0.334260	0.028321
0.096666	0.334287	0.028153
0.096567	0.334315	0.027938
0.096462	0.334342	0.027771
0.096364	0.334370	0.027605
0.096263	0.334395	0.027488
0.096165	0.334423	0.027228
0.096067	0.334450	0.027064
0.095967	0.334474	0.026949
0.095876	0.334502	0.026739
0.095773	0.334528	0.026577
0.095683	0.334554	0.026369
0.095586	0.334578	0.026257
0.095490	0.334605	0.026050
0.095398	0.334629	0.025891
0.095304	0.334654	0.025686
0.095211	0.334679	0.025576
0.095122	0.334703	0.025373
0.095023	0.334728	0.025169
0.094938	0.334752	0.025062
0.094846	0.334775	0.024861
0.094755	0.334801	0.024707
0.094670	0.334823	0.024459
0.094581	0.334847	0.024355
0.094489	0.334870	0.024251
0.094406	0.334893	0.023958
0.094318	0.334916	0.023856
0.094232	0.334939	0.023707
0.094144	0.334963	0.023463
0.094064	0.334983	0.023316
0.093977	0.335006	0.023218
0.093893	0.335027	0.022976
0.093813	0.335050	0.022830
0.093732	0.335071	0.022639
0.093645	0.335092	0.022494
0.093565	0.335115	0.022304
0.093486	0.335134	0.022162
0.093407	0.335156	0.021973
0.093326	0.335177	0.021832
