cx	cy	cz	q_scalar	q_x	q_y	q_z
-10.799835	-0.500517	0.100120	0.363555	-0.724452	-0.562152	0.164266
-10.799635	-0.501017	0.100220	0.365332	-0.723546	-0.562246	0.163992
-10.799435	-0.501518	0.100320	0.367107	-0.722635	-0.562340	0.163720
-10.799235	-0.502018	0.100420	0.368882	-0.721719	-0.562434	0.163450
-10.799035	-0.502518	0.100520	0.370655	-0.720799	-0.562527	0.163181
-10.798835	-0.503018	0.100620	0.372426	-0.719873	-0.562619	0.162915
-10.798635	-0.503518	0.100720	0.374196	-0.718942	-0.562712	0.162651
-10.798435	-0.504018	0.100820	0.375965	-0.718005	-0.562804	0.162389
-10.798235	-0.504518	0.100920	0.377733	-0.717064	-0.562896	0.162129
-10.798035	-0.505018	0.101020	0.379499	-0.716118	-0.562987	0.161871
-10.797835	-0.505518	0.101120	0.381263	-0.715166	-0.563078	0.161615
-10.797635	-0.506018	0.101220	0.383026	-0.714209	-0.563168	0.161361
-10.797435	-0.506518	0.101321	0.384787	-0.713248	-0.563258	0.161109
-10.797235	-0.507018	0.101421	0.386547	-0.712281	-0.563348	0.160860
-10.797035	-0.507518	0.101521	0.388306	-0.711309	-0.563438	0.160612
-10.796835	-0.508018	0.101621	0.390063	-0.710332	-0.563527	0.160366
-10.796635	-0.508518	0.101721	0.391818	-0.709350	-0.563616	0.160122
-10.796435	-0.509018	0.101821	0.393572	-0.708362	-0.563704	0.159880
-10.796235	-0.509518	0.101921	0.395324	-0.707370	-0.563792	0.159641
-10.796035	-0.510018	0.102021	0.397074	-0.706373	-0.563880	0.159403
-10.795835	-0.510518	0.102121	0.398823	-0.705370	-0.563968	0.159167
-10.795635	-0.511018	0.102221	0.400570	-0.704362	-0.564055	0.158933
-10.795435	-0.511518	0.102321	0.402315	-0.703350	-0.564142	0.158702
-10.795235	-0.512018	0.102421	0.404059	-0.702332	-0.564228	0.158472
-10.795035	-0.512518	0.102521	0.405801	-0.701309	-0.564314	0.158245
-10.794835	-0.513019	0.102621	0.407541	-0.700280	-0.564400	0.158019
-10.794636	-0.513519	0.102721	0.409279	-0.699247	-0.564486	0.157796
-10.794436	-0.514019	0.102821	0.411016	-0.698209	-0.564571	0.157574
-10.794236	-0.514519	0.102921	0.412751	-0.697165	-0.564656	0.157355
-10.794036	-0.515019	0.103021	0.414483	-0.696117	-0.564741	0.157137
-10.793836	-0.515519	0.103121	0.416215	-0.695063	-0.564826	0.156922
-10.793636	-0.516019	0.103221	0.417944	-0.694005	-0.564910	0.156709
-10.793436	-0.516519	0.103321	0.419671	-0.692941	-0.564994	0.156497
-10.793236	-0.517019	0.103421	0.421397	-0.691872	-0.565077	0.156288
-10.793036	-0.517519	0.103521	0.423120	-0.690798	-0.565161	0.156081
-10.792836	-0.518019	0.103621	0.424842	-0.689719	-0.565244	0.155875
-10.792636	-0.518519	0.103721	0.426561	-0.688634	-0.565327	0.155672
-10.792436	-0.519019	0.103821	0.428279	-0.687545	-0.565410	0.155471
-10.792236	-0.519519	0.103921	0.429994	-0.686451	-0.565492	0.155272
-10.792036	-0.520019	0.104021	0.431708	-0.685351	-0.565574	0.155075
-10.791836	-0.520519	0.104121	0.433419	-0.684247	-0.565656	0.154880
-10.791636	-0.521019	0.104221	0.435129	-0.683137	-0.565738	0.154686
